Date,value,Model Code
2015-10-28,0.46,model://CME_NYMEX_8K/US.NYMEX.CME.REGULAR.FUT.8K.2018M01/SETTLE/ALL
2015-10-29,0.46,model://CME_NYMEX_8K/US.NYMEX.CME.REGULAR.FUT.8K.2018M01/SETTLE/ALL
2015-10-30,0.46625,model://CME_NYMEX_8K/US.NYMEX.CME.REGULAR.FUT.8K.2018M01/SETTLE/ALL
2015-11-02,0.4575,model://CME_NYMEX_8K/US.NYMEX.CME.REGULAR.FUT.8K.2018M01/SETTLE/ALL
2015-11-03,0.48875,model://CME_NYMEX_8K/US.NYMEX.CME.REGULAR.FUT.8K.2018M01/SETTLE/ALL
2015-11-04,0.47958,model://CME_NYMEX_8K/US.NYMEX.CME.REGULAR.FUT.8K.2018M01/SETTLE/ALL
2015-11-05,0.48125,model://CME_NYMEX_8K/US.NYMEX.CME.REGULAR.FUT.8K.2018M01/SETTLE/ALL
2015-11-06,0.46125,model://CME_NYMEX_8K/US.NYMEX.CME.REGULAR.FUT.8K.2018M01/SETTLE/ALL
2015-11-09,0.455,model://CME_NYMEX_8K/US.NYMEX.CME.REGULAR.FUT.8K.2018M01/SETTLE/ALL
2015-11-10,0.46083,model://CME_NYMEX_8K/US.NYMEX.CME.REGULAR.FUT.8K.2018M01/SETTLE/ALL
2015-11-11,0.455,model://CME_NYMEX_8K/US.NYMEX.CME.REGULAR.FUT.8K.2018M01/SETTLE/ALL
2015-11-12,0.43349,model://CME_NYMEX_8K/US.NYMEX.CME.REGULAR.FUT.8K.2018M01/SETTLE/ALL
2015-11-13,0.42032,model://CME_NYMEX_8K/US.NYMEX.CME.REGULAR.FUT.8K.2018M01/SETTLE/ALL
2015-11-16,0.44,model://CME_NYMEX_8K/US.NYMEX.CME.REGULAR.FUT.8K.2018M01/SETTLE/ALL
2015-11-17,0.43375,model://CME_NYMEX_8K/US.NYMEX.CME.REGULAR.FUT.8K.2018M01/SETTLE/ALL
2015-11-18,0.41977,model://CME_NYMEX_8K/US.NYMEX.CME.REGULAR.FUT.8K.2018M01/SETTLE/ALL
2015-11-19,0.44875,model://CME_NYMEX_8K/US.NYMEX.CME.REGULAR.FUT.8K.2018M01/SETTLE/ALL
2015-11-20,0.43875,model://CME_NYMEX_8K/US.NYMEX.CME.REGULAR.FUT.8K.2018M01/SETTLE/ALL
2015-11-23,0.44375,model://CME_NYMEX_8K/US.NYMEX.CME.REGULAR.FUT.8K.2018M01/SETTLE/ALL
2015-11-24,0.45375,model://CME_NYMEX_8K/US.NYMEX.CME.REGULAR.FUT.8K.2018M01/SETTLE/ALL
2015-11-25,0.4375,model://CME_NYMEX_8K/US.NYMEX.CME.REGULAR.FUT.8K.2018M01/SETTLE/ALL
2015-11-26,NaN,model://CME_NYMEX_8K/US.NYMEX.CME.REGULAR.FUT.8K.2018M01/SETTLE/ALL
2015-11-27,0.4375,model://CME_NYMEX_8K/US.NYMEX.CME.REGULAR.FUT.8K.2018M01/SETTLE/ALL
2015-11-30,0.445,model://CME_NYMEX_8K/US.NYMEX.CME.REGULAR.FUT.8K.2018M01/SETTLE/ALL
2015-12-01,0.445,model://CME_NYMEX_8K/US.NYMEX.CME.REGULAR.FUT.8K.2018M01/SETTLE/ALL
2015-12-02,0.45375,model://CME_NYMEX_8K/US.NYMEX.CME.REGULAR.FUT.8K.2018M01/SETTLE/ALL
2015-12-03,0.44375,model://CME_NYMEX_8K/US.NYMEX.CME.REGULAR.FUT.8K.2018M01/SETTLE/ALL
2015-12-04,0.43375,model://CME_NYMEX_8K/US.NYMEX.CME.REGULAR.FUT.8K.2018M01/SETTLE/ALL
2015-12-07,0.4225,model://CME_NYMEX_8K/US.NYMEX.CME.REGULAR.FUT.8K.2018M01/SETTLE/ALL
2015-12-08,0.40875,model://CME_NYMEX_8K/US.NYMEX.CME.REGULAR.FUT.8K.2018M01/SETTLE/ALL
2015-12-09,0.39875,model://CME_NYMEX_8K/US.NYMEX.CME.REGULAR.FUT.8K.2018M01/SETTLE/ALL
2015-12-10,0.405,model://CME_NYMEX_8K/US.NYMEX.CME.REGULAR.FUT.8K.2018M01/SETTLE/ALL
2015-12-11,0.395,model://CME_NYMEX_8K/US.NYMEX.CME.REGULAR.FUT.8K.2018M01/SETTLE/ALL
2015-12-14,0.3825,model://CME_NYMEX_8K/US.NYMEX.CME.REGULAR.FUT.8K.2018M01/SETTLE/ALL
2015-12-15,0.38,model://CME_NYMEX_8K/US.NYMEX.CME.REGULAR.FUT.8K.2018M01/SETTLE/ALL
2015-12-16,0.37,model://CME_NYMEX_8K/US.NYMEX.CME.REGULAR.FUT.8K.2018M01/SETTLE/ALL
2015-12-17,0.37,model://CME_NYMEX_8K/US.NYMEX.CME.REGULAR.FUT.8K.2018M01/SETTLE/ALL
2015-12-18,0.3775,model://CME_NYMEX_8K/US.NYMEX.CME.REGULAR.FUT.8K.2018M01/SETTLE/ALL
2015-12-21,0.36625,model://CME_NYMEX_8K/US.NYMEX.CME.REGULAR.FUT.8K.2018M01/SETTLE/ALL
2015-12-22,0.3725,model://CME_NYMEX_8K/US.NYMEX.CME.REGULAR.FUT.8K.2018M01/SETTLE/ALL
2015-12-23,0.39375,model://CME_NYMEX_8K/US.NYMEX.CME.REGULAR.FUT.8K.2018M01/SETTLE/ALL
