Date,Period,Volume,total,price
15/08/2014,Week 34 '14 Baseload,5,840,28.35
28/09/2015,Day-ahead Baseload,25,600,36.7
17/12/2015,Year 2016 Baseload,10,87840,31.65
27/11/2014,Day-ahead Baseload,5,120,35.5
23/10/2014,Weekend Baseload,10,490,28.25
10/01/2014,Weekend Baseload,10,480,26.5
7/06/2016,Year 2018 Baseload,5,43800,28.95
6/02/2015,Week 7 '15 Baseload,10,1680,37
7/01/2014,Day-ahead Baseload,10,240,34.25
9/02/2015,Day-ahead Baseload,10,240,41.4
16/09/2015,Day-ahead Baseload,15,360,42.5
12/06/2014,Day-ahead Baseload,15,360,33
12/12/2014,Week 51 '14 Baseload,10,1680,36.25
17/03/2015,Week 13 '15 Baseload,15,2505,33.75
9/01/2014,Day-ahead Baseload,10,240,29
7/04/2014,Year 2015 Baseload,5,43800,34
7/08/2013,Day-ahead Baseload,4,96,50.5
7/11/2014,Sunday Baseload,10,240,26
23/12/2014,Monday Baseload,10,240,34.5
23/10/2015,Weekend Baseload,10,490,28.5
20/08/2015,Week 35 '15 Baseload,50,8400,32.85
11/10/2013,Week 42 '13 Baseload,10,1680,43.45
4/08/2014,September '14 Baseload,5,3600,34.85
14/04/2015,Q3 '15 Baseload,5,11040,33.5
28/05/2015,Q3 '15 Baseload,5,11040,30.8
31/05/2016,June '16 Baseload,200,144000,28.45
18/12/2013,Day-ahead Baseload,10,240,40
21/01/2014,February '14 Baseload,5,3360,39.95
8/08/2013,Day-ahead Baseload,10,240,51.5
1/10/2013,Day-ahead Baseload,10,240,52.75
17/06/2014,July '14 Baseload,5,3720,34.5
21/01/2014,Day-ahead Baseload,5,120,47.4
30/10/2013,Day-ahead Baseload,5,120,36
28/03/2014,Day-ahead Baseload,5,120,35
13/01/2016,February '16 Baseload,10,6960,33.75
11/08/2016,September '16 Baseload,10,7200,30.8
23/04/2014,Day-ahead Baseload,5,120,38.5
19/06/2015,Q3 '15 Baseload,10,22080,31.45
18/08/2014,September '14 Baseload,5,3600,34.85
11/03/2015,April '15 Baseload,20,14400,34.2
23/12/2014,Monday Baseload,10,240,34
13/10/2015,Q1 '16 Baseload,25,54575,33.45
27/11/2014,December '14 Baseload,5,3720,37.5
7/04/2014,Day-ahead Baseload,5,120,32.5
4/04/2014,Day-ahead Baseload,10,240,35.5
30/07/2015,August '15 Baseload,25,18600,32.25
25/09/2015,Day-ahead Baseload,5,120,38.5
31/07/2015,Day-ahead Baseload,10,240,35.5
10/07/2015,Weekend Baseload,10,480,31.5
25/01/2016,February '16 Baseload,5,3480,32.85
15/12/2015,Friday Baseload,30,720,37
3/02/2015,Q2 '15 Baseload,10,21840,32.9
17/07/2015,Day-ahead Baseload,20,480,47
19/01/2016,Day-ahead Baseload,10,240,47.9
6/06/2016,Q3 '16 Peaks,5,3960,40.9
1/10/2015,November '15 Baseload,10,7200,36
11/12/2013,Week 52 '13 Baseload,10,1680,20.5
8/01/2014,Day-ahead Baseload,5,120,30.25
20/03/2014,Day-ahead Baseload,5,120,27.15
11/09/2015,Day-ahead Baseload,50,1200,35.5
26/03/2014,Weekend Baseload,10,470,24.75
6/10/2015,Thursday Baseload,10,240,48
13/01/2014,February '14 Baseload,10,6720,40.95
3/09/2015,Day-ahead Extended-Peaks,10,160,47
23/04/2014,Week 18 '14 Baseload,25,4200,32
22/10/2015,Year 2018 Baseload,10,87600,30.3
10/11/2015,Weekend Baseload,10,480,20
25/04/2014,Day-ahead Baseload,25,600,42
21/07/2015,Day-ahead Baseload,10,240,53
19/06/2015,Q3 '15 Baseload,10,22080,31.35
29/10/2014,November '14 Baseload,10,7200,35.3
