Date,Period,Volume,total,price
10/03/2015,April '15 Baseload,15,10800,34.15
22/10/2014,Year 2016 Baseload,25,219600,33.65
17/06/2015,Q3 '15 Baseload,25,55200,31.1
9/07/2015,Day-ahead Baseload,10,240,37
9/07/2015,Day-ahead Baseload,15,360,37.5
29/10/2015,December '15 Baseload,10,7440,33.5
12/11/2015,Week 47 '15 Baseload,25,4200,35.8
14/09/2015,Day-ahead Baseload,10,240,33
20/02/2014,March '14 Baseload,10,7430,32.4
12/10/2015,Day-ahead Baseload,10,240,50.75
16/10/2014,Week 43 '14 Baseload,10,1690,29.4
30/06/2016,Day-ahead Baseload,5,120,34.3
11/12/2014,Weekend Baseload,5,240,32
31/03/2014,Year 2015 Baseload,10,87600,33.85
7/04/2014,Day-ahead Baseload,10,240,32
3/02/2015,March '15 Baseload,10,7430,33
15/08/2014,Week 35 '14 Baseload,5,840,33.25
9/02/2015,Day-ahead Baseload,25,600,41.25
25/10/2013,Day-ahead Baseload,25,600,22.75
7/02/2014,March '14 Baseload,10,7430,33.95
14/01/2015,Day-ahead Baseload,5,120,27
6/07/2015,August '15 Baseload,10,7440,31.3
10/05/2016,Week 20 '16 Baseload,20,3360,27
30/09/2015,Year 2016 Baseload,25,219600,32.4
31/07/2013,Day-ahead Baseload,10,240,38.25
30/10/2015,December '15 Baseload,20,14880,33.9
9/04/2014,May '14 Baseload,25,18600,31
24/06/2014,Day-ahead Baseload,10,240,39.5
8/01/2015,Day-ahead Baseload,10,240,35
17/12/2014,Friday Baseload,25,600,37
4/08/2014,September '14 Baseload,25,18000,34.85
12/08/2014,September '14 Baseload,10,7200,34.5
18/06/2014,Week 26 '14 Baseload,5,840,34.5
28/03/2014,Day-ahead Baseload,5,120,35
20/03/2015,Week 13 '15 Baseload,25,4175,34.75
17/09/2015,Day-ahead Baseload,10,240,42
11/06/2015,Day-ahead Baseload,15,360,34.25
1/12/2015,Weekend Baseload,5,240,26
16/12/2013,Day-ahead Baseload,10,240,53.25
19/09/2014,October '14 Baseload,10,7450,35.15
12/06/2014,Day-ahead Baseload,5,120,33
7/10/2015,Day-ahead Baseload,10,240,48.5
19/08/2013,Day-ahead Baseload,10,240,46.3
16/04/2015,Week 17 '15 Baseload,10,1680,28.75
7/07/2015,August '15 Baseload,15,11160,29.75
1/09/2015,Day-ahead Baseload,50,1200,39
23/10/2015,Year 2018 Baseload,10,87600,30.3
27/11/2013,Day-ahead Baseload,10,240,39.35
31/01/2014,Day-ahead Baseload,3,72,43.75
22/02/2016,March '16 Baseload,10,7430,23.5
14/08/2014,Week 34 '14 Baseload,5,840,28.75
4/09/2015,Weekend Baseload,10,480,24
4/05/2016,Weekend Baseload,20,960,19.75
13/05/2014,Day-ahead Baseload,5,120,35
9/06/2014,Day-ahead Baseload,5,120,36.1
14/12/2015,Day-ahead Baseload,25,600,45
14/06/2016,July '16 Baseload,55,40920,30.5
27/10/2014,Day-ahead Baseload,10,240,34.5
12/11/2015,Year 2016 Baseload,10,87840,32.35
8/04/2015,Day-ahead Baseload,10,240,41.25
18/11/2015,Day-ahead Baseload,10,240,35
15/04/2014,Day-ahead Baseload,5,120,40.8
19/02/2015,Day-ahead Baseload,10,240,37
24/09/2014,October '14 Baseload,10,7450,36.1
16/08/2013,Weekend Baseload,10,480,28.5
29/10/2015,Week 46 '15 Baseload,25,4200,39.25
6/08/2014,Q1 '15 Baseload,10,21590,38.65
23/08/2016,Q4 '16 Baseload,25,55225,32.25
22/09/2014,Q4 '14 Baseload,45,99405,36.5
18/12/2014,Day-ahead Baseload,10,240,35
22/01/2015,Week 5 '15 Baseload,5,840,33
22/10/2013,Day-ahead Baseload,5,120,33.4
4/11/2015,December '15 Baseload,10,7440,33.1
2/12/2015,Day-ahead Baseload,10,240,42.5
18/06/2014,Week 26 '14 Baseload,20,3360,34
27/04/2015,Week 19 '15 Baseload,25,4200,30.75
10/10/2013,Weekend Baseload,35,1680,32.25
6/08/2013,Day-ahead Baseload,5,120,45.75
12/10/2015,Day-ahead Baseload,10,240,54.25
28/10/2014,Day-ahead Baseload,10,240,41.25
13/10/2015,Thursday Baseload,10,240,48.5
19/10/2015,Day-ahead Baseload,10,240,49
10/04/2014,Weekend Baseload,10,480,27
13/11/2015,Week 47 '15 Baseload,5,840,36.8
12/08/2014,Q4 '14 Baseload,30,66270,37.65
9/12/2014,Day-ahead Baseload,5,120,34.8
